PSI #04 Death Rate among Surgical Inpatients with Serious Treatable Complications,,,,,,,,
,,,,,,,,
DENOMINATOR STRATUM 04A: DVT/PE,,,,,,,,
"Surgical discharges, for patients ages 18 through 89 years or MDC 14 (pregnancy, childbirth, and puerperium), with all of the following:
• any-listed ICD-9-CM or ICD-10-PCS procedure codes for an operating room procedure; and
• the principal procedure occurring within 2 days of admission or an admission type of elective (ATYPE=3); and
• any secondary ICD-9-CM or ICD-10-CM diagnosis codes for deep vein thrombosis or pulmonary embolism.

Surgical discharges are defined by specific DRG or MS-DRG codes.
",,,,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_A.pdf,,,,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_D.pdf,,,,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_E.pdf,,,,,,,,
,,,,,,,,
"Pulmonary embolism or deep vein thrombosis diagnosis codes (for discharges prior to October 1, 2009): (FTR2DX)",,,,,,,,
ICD-9-CM,Description,ICD-10-CM,Description,,,,,
4151  ,PULMONARY EMBOLISM AND INFARCTION (no longer valid),,No equivalent ICD-10-CM codes,,,,,
41511 ,IATROGENIC PULMONARY EMBOLISM ,,,,,,,
41513 ,SADDLE EMOLUS OF PULMONARY ARTERY ,,,,,,,
41519 ,OTHER PULMONARY EMBOLISM AND INFARCTION,,,,,,,
45111 ,PHLEBITIS AND THORBOPHLEBITIS FEMORAL VEIN (DEEP) (SUPERFICIAL) ,,,,,,,
45119 ,"PHLEBITIS AND THORBOPHLEBITIS, OTHER DEEP VESSEL OF LOWER EXTREMITIES ",,,,,,,
4512  ,"PHLEBITIS AND THORBOPHLEBITIS, LOWER EXTREMITIES ",,,,,,,
45181 ,ILIAC VEIN ,,,,,,,
4519  ,UNSPECIFIED SITE ,,,,,,,
45340 ,DVT-EMBLSM LOWER EXT NOS ,,,,,,,
45341 ,DVT-EMB PROX LOWER EXT ,,,,,,,
45342 ,DVT-EMB DISTAL LOWER EXT ,,,,,,,
4538  ,OTHER VENOUS EMBOLISM AND THROMBOSIS OF OTHER SPECIFIED VEINS (no longer valid),,,,,,,
4539  ,OTHER VENOUS EMBOLISM AND THROMBOSIS OF UNSPECIFIED SITE,,,,,,,
,,,,,,,,
"Pulmonary embolism or deep vein thrombosis diagnosis codes (for discharges on or after October 1, 2009): (FTR2DXB)",,,,,,,,
ICD-9-CM,Description,ICD-10-CM,Description,,,,,
4151  ,PULMONARY EMBOLISM AND INFARCTION (no longer valid) ,I2602  ,Saddle embolus of pulmonary artery with acute cor pulmonale,,,,,
41511 ,IATROGENIC PULMONARY EMBOLISM ,I2609  ,Other pulmonary embolism with acute cor pulmonale,,,,,
41513 ,SADDLE EMOLUS OF PULMONARY ARTERY ,I2692  ,Saddle embolus of pulmonary artery without acute cor pulmonale,,,,,
41519 ,OTHER PULMONARY EMBOLISM AND INFARCTION,I2699  ,Other pulmonary embolism without acute cor pulmonale,,,,,
45111 ,PHLEBITIS AND THORBOPHLEBITIS FEMORAL VEIN (DEEP) (SUPERFICIAL) ,I8010  ,Phlebitis and thrombophlebitis of unspecified femoral vein,,,,,
45119 ,"PHLEBITIS AND THORBOPHLEBITIS, OTHER DEEP VESSEL OF LOWER EXTREMITIES ",I8011  ,Phlebitis and thrombophlebitis of right femoral vein,,,,,
45181 ,ILIAC VEIN ,I8012  ,Phlebitis and thrombophlebitis of left femoral vein,,,,,
45340 ,DVT-EMBLSM LOWER EXT NOS ,I8013  ,"Phlebitis and thrombophlebitis of femoral vein, bilateral",,,,,
45341 ,DVT-EMB PROX LOWER EXT ,I80201  ,Phlebitis and thrombophlebitis of unspecified deep vessels of right lower extremity,,,,,
45342 ,DVT-EMB DISTAL LOWER EXT,I80202  ,Phlebitis and thrombophlebitis of unspecified deep vessels of left lower extremity,,,,,
,,I80203  ,"Phlebitis and thrombophlebitis of unspecified deep vessels of lower extremities, bilateral",,,,,
,,I80209  ,Phlebitis and thrombophlebitis of unspecified deep vessels of unspecified lower extremity,,,,,
,,I80211  ,Phlebitis and thrombophlebitis of right iliac vein,,,,,
,,I80212  ,Phlebitis and thrombophlebitis of left iliac vein,,,,,
,,I80213  ,"Phlebitis and thrombophlebitis of iliac vein, bilateral",,,,,
,,I80219  ,Phlebitis and thrombophlebitis of unspecified iliac vein,,,,,
,,I80221  ,Phlebitis and thrombophlebitis of right popliteal vein,,,,,
,,I80222  ,Phlebitis and thrombophlebitis of left popliteal vein,,,,,
,,I80223  ,"Phlebitis and thrombophlebitis of popliteal vein, bilateral",,,,,
,,I80229  ,Phlebitis and thrombophlebitis of unspecified popliteal vein,,,,,
,,I80231  ,Phlebitis and thrombophlebitis of right tibial vein,,,,,
,,I80232  ,Phlebitis and thrombophlebitis of left tibial vein,,,,,
,,I80233  ,"Phlebitis and thrombophlebitis of tibial vein, bilateral",,,,,
