PSI #04 Death Rate among Surgical Inpatients with Serious Treatable Complications,,,,,,
,,,,,,
DENOMINATOR EXCLUSIONS STRATUM 04E: GI HEMORRHAGE/ACUTE ULCER,,,,,,
"Exclude cases:
• with a principal ICD-9-CM or ICD-10-CM diagnosis code for gastrointestinal hemorrhage or acute ulcer 
(see above)
• with a principal ICD-9-CM or ICD-10-CM diagnosis code for trauma
• with a principal ICD-9-CM or ICD-10-CM diagnosis code for alcoholism
• with a principal ICD-9-CM or ICD-10-CM diagnosis code for anemia
• MDC 6 (diseases and disorders of the digestive system)
• MDC 7 (diseases and disorders of the hepatobiliary system and pancreas)
• transferred to an acute care facility (DISP = 2)
• with missing discharge disposition (DISP=missing), gender (SEX=missing), age (AGE=missing), quarter (DQTR=missing), year (YEAR=missing), or principal diagnosis (DX1=missing)

",,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_G.pdf,,,,,,
,,,,,,
Alcoholism diagnosis codes: (ALCHLSM),,,,,,
ICD-9-CM,Description,ICD-10-CM,Description,,,
2910  ,ALCOHOL WITHDRAWAL DELIRIUM ,F1010  ,"Alcohol abuse, uncomplicated",,,
2911  ,ALCOHOL AMNESTIC SYNDROME ,F10120  ,"Alcohol abuse with intoxication, uncomplicated",,,
2912  ,OTHER ALCOHOLIC DEMENTIA ,F10121  ,Alcohol abuse with intoxication delirium,,,
2913  ,ALCOHOL WITHDRAWAL HALLUCINOSIS ,F10129  ,"Alcohol abuse with intoxication, unspecified",,,
2914  ,IDIOSYNCRATIC ALCOHOL INTOXICATION ,F1014  ,Alcohol abuse with alcohol-induced mood disorder,,,
2915  ,ALCOHOLIC JEALOUSY ,F10150  ,Alcohol abuse with alcohol-induced psychotic disorder with delusions,,,
29181 ,"OTHER SPECIFIED ALCOHOLIC PSYCHOSES, ALCOHOL WITHDRAWAL ",F10151  ,Alcohol abuse with alcohol-induced psychotic disorder with hallucinations,,,
29182 ,ALCOH INDUCE SLEEP DISOR ,F10159  ,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified",,,
29189 ,"OTHER SPECIFIED ALCOHOLIC PSYCHOSES, OTHER ",F10180  ,Alcohol abuse with alcohol-induced anxiety disorder,,,
2919  ,UNSPECIFIED ALCOHOLIC PSYCHOSIS ,F10181  ,Alcohol abuse with alcohol-induced sexual dysfunction,,,
30300 ,ACUTE ALCOHOL INTOXICATION ,F10182  ,Alcohol abuse with alcohol-induced sleep disorder,,,
30301 ,ACUTE ALCOHOLIC INTOXICATION ,F10188  ,Alcohol abuse with other alcohol-induced disorder,,,
30302 ,ACUTE ALCOHOLIC INTOXICATION ,F1019  ,Alcohol abuse with unspecified alcohol-induced disorder,,,
