PSI #04 Death Rate among Surgical Inpatients with Serious Treatable Complications,,,,,,
,,,,,,
DENOMINATOR STRATUM B: PNEUMONIA,,,,,,
"Surgical discharges, for patients ages 18 through 89 years or MDC 14 (pregnancy, childbirth, and puerperium), with all of the following:
• any-listed ICD-9-CM or ICD-10-PCS procedure codes for an operating room procedure; and
• the principal procedure occurring within 2 days of admission or an admission type of elective (ATYPE=3); and
• any secondary ICD-9-CM or ICD-10-CM diagnosis codes for pneumonia.

Surgical discharges are defined by specific DRG or MS-DRG codes.
",,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_A.pdf,,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_D.pdf,,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_E.pdf,,,,,,
,,,,,,
Pneumonia diagnosis codes: (FTR3DX),,,,,,
ICD-9-CM,Description,ICD-10-CM,Description,,,
4820  ,K. PNEUMONIAE PNEUMONIA ,A481  ,Legionnaires disease,,,
4821  ,PSEUDOMONAL PNEUMONIA ,J14  ,Pneumonia due to Hemophilus influenzae,,,
4822  ,H.INFLUENZAE PNEUMONIA ,J150  ,Pneumonia due to Klebsiella pneumoniae,,,
4823  ,STREPTOCOCCAL PNEUMONIA ,J151  ,Pneumonia due to Pseudomonas,,,
48230 ,STREPTOCOCCAL PNEUMN NOS ,J1520  ,"Pneumonia due to staphylococcus, unspecified",,,
48231 ,PNEUMONIA STRPTOCOCCUS A ,J15211  ,Pneumonia due to Methicillin susceptible Staphylococcus aureus,,,
48232 ,PNEUMONIA STRPTOCOCCUS B ,J15212  ,Pneumonia due to Methicillin resistant Staphylococcus aureus,,,
48239 ,PNEUMONIA OTH STREP ,J1529  ,Pneumonia due to other staphylococcus,,,
4824  ,STAPHYLOCOCCAL PNEUMONIA ,J153  ,"Pneumonia due to streptococcus, group B",,,
48240 ,STAPHYLOCOCCAL PNEU NOS ,J154  ,Pneumonia due to other streptococci,,,
48241 ,METH SUS PNEUM D/T STAPH ,J155  ,Pneumonia due to Escherichia coli,,,
48242 ,METH RES PNEU D/T STAPH ,J156  ,Pneumonia due to other aerobic Gram-negative bacteria,,,
48249 ,STAPH PNEUMONIA NEC ,J158  ,Pneumonia due to other specified bacteria,,,
4828  ,BACTERIAL PNEUMONIA NEC ,J159  ,Unspecified bacterial pneumonia,,,
48281 ,PNEUMONIA ANAEROBES ,J180  ,"Bronchopneumonia, unspecified organism",,,
48282 ,PNEUMONIA E COLI ,J182  ,"Hypostatic pneumonia, unspecified organism",,,
48283 ,PNEUMO OTH GRM-NEG BACT ,J188  ,"Other pneumonia, unspecified organism",,,
48284 ,LEGIONNAIRES  DISEASE ,J189  ,"Pneumonia, unspecified organism",,,
48289 ,PNEUMONIA OTH SPCF BACT ,J690  ,Pneumonitis due to inhalation of food and vomit,,,
4829  ,BACTERIAL PNEUMONIA NOS ,J811  ,Chronic pulmonary edema,,,
485   ,"BRONCHOPNEUMONIA, ORGANISM UNSPECIFIED ",,,,,
486   ,"PNEUMONIA, ORGANISM UNSPECIFIED ",,,,,
5070  ,DUE TO INHALATION OF FOOD OR VOMITUS ,,,,,
514   ,PULMONARY CONGESTION AND HYPOSTASIS,,,,,
,,,,,,
,,,,,,
