PSI #04 Death Rate among Surgical Inpatients with Serious Treatable Complications,,,,,,
,,,,,,
DENOMINATOR STRATUM C: SEPSIS,,,,,,
"Surgical discharges, for patients ages 18 through 89 years or MDC 14 (pregnancy, childbirth, and puerperium), with all of the following:
• any-listed ICD-9-CM or ICD-10-PCS procedure codes for an operating room procedure; and
• the principal procedure occurring within 2 days of admission or an admission type of elective (ATYPE=3); and
• any secondary ICD-9-CM or ICD-10-CM diagnosis codes for sepsis.

Surgical discharges are defined by specific DRG or MS-DRG codes.
",,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_A.pdf,,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_D.pdf,,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_E.pdf,,,,,,
,,,,,,
Sepsis diagnosis codes: (FTR4DX),,,,,,
ICD-9-CM,Description,ICD-10-CM,Description,,,
0380  ,STREPTOCOCCAL SEPTICEMIA ,A021  ,Salmonella sepsis,,,
0381  ,STAPHYLOCOCCAL SEPTICEMIA (end 2000),A227  ,Anthrax sepsis,,,
03810 ,"STAPHYLOCOCCAL SEPTICEMIA, UNSPECIFIED ",A267  ,Erysipelothrix sepsis,,,
03811 ,METH SUSC STAPH AUR SEPT ,A327  ,Listerial sepsis,,,
03812 ,MRSA SEPTICEMIA ,A400  ,"Sepsis due to streptococcus, group A",,,
03819 ,OTHER STAPHYLOCOCCAL SEPTICEMIA ,A401  ,"Sepsis due to streptococcus, group B",,,
0382  ,PNEUMOCOCCAL SEPTICEMIA (STREPTOCOCCUS PNEUMONIAE SEPTICEMIA) ,A403  ,Sepsis due to Streptococcus pneumoniae,,,
0383  ,SEPTICEMIA DUE TO ANAEROBES ,A408  ,Other streptococcal sepsis,,,
03840 ,"GRAM-NEGATIVE ORGANISM, UNSPECIFIED ",A409  ,"Streptococcal sepsis, unspecified",,,
03841 ,HEMOPHILUS INFLUENZAE ,A4101  ,Sepsis due to Methicillin susceptible Staphylococcus aureus,,,
03842 ,ESCHERICHIA COLI ,A4102  ,Sepsis due to Methicillin resistant Staphylococcus aureus,,,
03843 ,PSEUDOMONAS ,A411  ,Sepsis due to other specified staphylococcus,,,
03844 ,SERRATIA ,A412  ,Sepsis due to unspecified staphylococcus,,,
03849 ,SEPTICEMIA DUE TO OTHER GRAM-NEGATIVE ORGANISMS ,A413  ,Sepsis due to Hemophilus influenzae,,,
0388  ,OTHER SPECIFIED SEPTICEMIAS ,A414  ,Sepsis due to anaerobes,,,
0389  ,UNSPECIFIED SEPTICEMIA ,A4150  ,"Gram-negative sepsis, unspecified",,,
78552 ,SEPTIC SHOCK            ,A4151  ,Sepsis due to Escherichia coli [E. coli],,,
99591 ,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME DUE TO INFECTIOUS PROCESS WITHOUT ORGAN DYSFUNCTION,A4152  ,Sepsis due to Pseudomonas,,,
99592 ,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME DUE TO INFECTIOUS PROCESS WITH ORGAN DYSFUNCTION,A4153  ,Sepsis due to Serratia,,,
99802 ," POSTOPERATIVE SHOCK, SEPTIC",A4159  ,Other Gram-negative sepsis,,,
,,A4181  ,Sepsis due to Enterococcus,,,
,,A4189  ,Other specified sepsis,,,
,,A419  ,"Sepsis, unspecified organism",,,
,,A427  ,Actinomycotic sepsis,,,
,,A5486  ,Gonococcal sepsis,,,
,,B377  ,Candidal sepsis,,,
,,R6520  ,Severe sepsis without septic shock,,,
,,R6521  ,Severe sepsis with septic shock,,,
,,T8112XA  ,"Postprocedural septic shock, initial encounter",,,
