PSI #04 Death Rate among Surgical Inpatients with Serious Treatable Complications,,,,,,
,,,,,,
DENOMINATOR STRATUM D: CARDIAC ARREST,,,,,,
"Surgical discharges, for patients ages 18 through 89 years or MDC 14 (pregnancy, childbirth, and puerperium), with all of the following:
• any-listed ICD-9-CM or ICD-10-PCS procedure codes for an operating room procedure; and
• the principal procedure occurring within 2 days of admission or an admission type of elective (ATYPE=3); and
• any secondary ICD-9-CM or ICD-10-CM diagnosis codes or any-listed ICD-9-CM or ICD-10-PCS procedure codes for shock or cardiac arrest.

Surgical discharges are defined by specific DRG or MS-DRG codes.

",,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_A.pdf,,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_D.pdf,,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_E.pdf,,,,,,
,,,,,,
Shock or cardiac arrest diagnosis codes: (FTR5DX),,,,,,
ICD-9-CM,Description,ICD-10-CM,Description,,,
4275  ,CARDIAC ARREST ,I46.2,Cardiac arrest due to underlying cardiac condition,,,
63450 ,SPONTANEOUS ABORTION UNSPECIFIED COMPLICATED BY SHOCK ,I46.8,Cardiac arrest due to other underlying condition,,,
63451 ,SPONTANEOUS ABORTION UNSPECIFIED COMPLICATED BY SHOCK ,I46.9,"Cardiac arrest, cause unspecified",,,
63452 ,SPONTANEOUS ABORTION UNSPECIFIED COMPLICATED BY SHOCK ,O03.31,Shock following incomplete spontaneous abortion,,,
63550 ,LEGALLY INDUCED ABORTION UNSPECIFIED COMPLICATED BY SHOCK ,O03.81,Shock following complete or unspecified spontaneous abortion,,,
63551 ,LEGALLY INDUCED ABORTION UNSPECIFIED COMPLICATED BY SHOCK ,O04.81,Shock following (induced) termination of pregnancy,,,
63552 ,LEGALLY INDUCED ABORTION UNSPECIFIED COMPLICATED BY SHOCK ,O07.31,Shock following failed attempted termination of pregnancy,,,
63650 ,ILLEGAL ABORTION UNSPECIFIED COMPLICATED BY SHOCK  ,O08.3,Shock following ectopic and molar pregnancy,,,
63651 ,ILLEGAL ABORTION UNSPECIFIED COMPLICATED BY SHOCK  ,O75.1,Shock during or following labor and delivery,,,
63652 ,ILLEGAL ABORTION UNSPECIFIED COMPLICATED BY SHOCK  ,R09.2,Respiratory arrest,,,
63750 ,LEGALLY UNSPECIFIED TYPE OF ABORTION UNSPECIFIED COMPLICATED BY SHOCK ,R57.0,Cardiogenic shock,,,
63751 ,LEGALLY UNSPECIFIED ABORTION INCOMPLETE COMPLICATED BY SHOCK ,R57.1,Hypovolemic shock,,,
63752 ,LEGALLY UNSPECIFIED ABORTION COMPLETE COMPLICATED BY SHOCK ,R57.8,Other shock,,,
6385  ,FAILED ATTEMPTED ABORTION COMPLICATED BY SHOCK ,R57.9,"Shock, unspecified",,,
6395  ,"COMPLICATIONS FOLLOWING ABORTION AND ECTOPIC AND MOLAR PREGNANCIES, SHOCK ",T78.2XXA,"Anaphylactic shock, unspecified, initial encounter",,,
66910 ,OBSTETRIC SHOCK-UNSPEC ,T80.51XA,"Anaphylactic reaction due to administration of blood and blood products, initial encounter",,,
66911 ,OBSTETRIC SHOCK-DELIVER ,T80.52XA,"Anaphylactic reaction due to vaccination, initial encounter",,,
66912 ,OBSTET SHOCK-DELIV W P/P ,T80.59XA,"Anaphylactic reaction due to other serum, initial encounter",,,
66913 ,OBSTETRIC SHOCK-ANTEPAR ,T81.10XA,"Postprocedural shock unspecified, initial encounter",,,
66914 ,OBSTETRIC SHOCK-POSTPART ,T81.11XA,"Postprocedural  cardiogenic shock, initial encounter",,,
7855  ,SHOCK NOS ,T81.19XA,"Other postprocedural shock, initial encounter",,,
78550 ,"SHOCK, UNSPECIFIED ",T88.2XXA,"Shock due to anesthesia, initial encounter",,,
78551 ,CARDIOGENIC SHOCK ,T88.6XXA,"Anaphylactic reaction due to adverse effect of correct drug or medicament properly administered, initial encounter",,,
78559 ,"SHOCK WITHOUT MENTION OF TRAUMA, OTHER ",,,,,
7991  ,RESPIRATORY ARREST ,,,,,
9950  ,OTHER ANAPHYLACTIC SHOCK ,,,,,
9954  ,SHOCK DUE TO ANESTHESIA ,,,,,
9980  ,"POSTOPERATIVE SHOCK /** Not valid after October 1, 2011    ",,,,,
99800 ,"POSTOPERATIVE SHOCK, UNSPECIFIED ",,,,,
99801 ,"POSTOPERATIVE SHOCK, CARDIOGENIC ",,,,,
99809 ,"POSTOPERATIVE SHOCK, OTHER ",,,,,
9994   ,ANAPHYLACTIC SHOCK DUE TO SERUM ,,,,,
99941  ,ANAPHYLACTIC REACTION DUE TO ADMINISTRATION OF BLOOD AND BLOOD PARTICLES,,,,,
99942  ,ANAPHYLACTIC REACTION DUE TO VACCINATION ,,,,,
99949  ,ANAPHYLACTIC REACTION DUE TO OTHER SERUM,,,,,
,,,,,,
Shock or cardiac arrest (resuscitation) procedure codes: : (FTR5PR),,,,,,
ICD-9-CM,Description,ICD-10-PCS,Description,,,
9393 ,NONMECHANICAL METHODS OF RESUSCITATION ,5A12012  ,"Performance of Cardiac Output, Single, Manual",,,
9960 ,"CARDIOPULMONARY RESUSCITATION, NOS ",5A19054  ,"Respiratory Ventilation, Single, Nonmechanical",,,
9963 ,CLOSED CHEST CARDIAC MASSAGE,,,,,
