PSI #04 Death Rate among Surgical Inpatients with Serious Treatable Complications,,,,,,
,,,,,,
DENOMINATOR STRATUM 04E: GI HEMORRHAGE/ACUTE ULCER,,,,,,
"Surgical discharges, for patients ages 18 through 89 years or MDC 14 (pregnancy, childbirth, and puerperium), with all of the following:
• any-listed ICD-9-CM or ICD-10-PCS procedure codes for an operating room procedure; and
• the principal procedure occurring within 2 days of admission or an admission type of elective (ATYPE=3); and
• any secondary ICD-9-CM or ICD-10-CM diagnosis codes for gastrointestinal hemorrhage or acute ulcer.

Surgical discharges are defined by specific DRG or MS-DRG codes.
",,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_A.pdf,,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_D.pdf,,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_E.pdf,,,,,,
,,,,,,
Gastrointestinal hemorrhage or acute ulcer diagnosis codes: (FTR6DX),,,,,,
ICD-9-CM,Description,ICD-10-CM,Description,,,
4560  ,ESOPHAGEAL VARICES WITH BLEEDING ,I8501  ,Esophageal varices with bleeding,,,
45620 ,ESOPHAGEAL VARICES IN DISEASES CLASSIFIED ELSEWHERE WITH BLEEDING ,I8511  ,Secondary esophageal varices with bleeding,,,
5307  ,GASTROESOPHAGEAL LACERATION-HEMORRHAGE SYNDROME ,K226  ,Gastro-esophageal laceration-hemorrhage syndrome,,,
53082 ,ESOPHAGEAL HEMORRHAGE ,K250  ,Acute gastric ulcer with hemorrhage,,,
53100 ,ACUTE WITH HEMORRHAGE - WITHOUT MENTION OF OBSTRUCTION ,K251  ,Acute gastric ulcer with perforation,,,
53101 ,ACUTE WITH HEMORRHAGE - WITH OBSTRUCTION ,K252  ,Acute gastric ulcer with both hemorrhage and perforation,,,
53110 ,ACUTE WITH PERFORATION - WITHOUT MENTION OF OBSTRUCTION ,K253  ,Acute gastric ulcer without hemorrhage or perforation,,,
53111 ,ACUTE WITH PERFORATION - WITH OBSTRUCTION ,K259  ,"Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation",,,
53120 ,ACUTE WITH HEMORRHAGE AND PERFORATION - WITHOUT MENTION OF OBSTRUCTION ,K260  ,Acute duodenal ulcer with hemorrhage,,,
53121 ,ACUTE WITH HEMORRHAGE AND PERFORATION - WITH OBSTRUCTION ,K261  ,Acute duodenal ulcer with perforation,,,
53130 ,ACUTE WITHOUT MENTION OF HEMORRHAGE OR PERFORATION - WITHOUT MENTION OF OBSTRUCTION ,K262  ,Acute duodenal ulcer with both hemorrhage and perforation,,,
53131 ,ACUTE WITHOUT MENTION OF HEMORRHAGE OR PERFORATION - WITH   OBSTRUCTION ,K263  ,Acute duodenal ulcer without hemorrhage or perforation,,,
53190 ,"UNSPECIFIED AS ACUTE OR CHRONIC, WITHOUT MENTION OF HEMORRHAGE OR PERFORATION - WITHOUT MENTION OF OBSTRUCTION ",K269  ,"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation",,,
53191 ,"UNSPECIFIED AS ACUTE OR CHRONIC, WITHOUT MENTION OF HEMORRHAGE OR PERFORATION - WITH OBSTRUCTION ",K270  ,"Acute peptic ulcer, site unspecified, with hemorrhage",,,
53200 ,ACUTE WITH HEMORRHAGE - WITHOUT MENTION OF OBSTRUCTION ,K271  ,"Acute peptic ulcer, site unspecified, with perforation",,,
53201 ,ACUTE WITH HEMORRHAGE - WITH OBSTRUCTION ,K272  ,"Acute peptic ulcer, site unspecified, with both hemorrhage and perforation",,,
53210 ,ACUTE WITH PERFORATION - WITHOUT MENTION OF OBSTRUCTION ,K273  ,"Acute peptic ulcer, site unspecified, without hemorrhage or perforation",,,
53211 ,ACUTE WITH PERFORATION - WITH OBSTRUCTION ,K279  ,"Peptic ulcer, site unspecified, unspecified as acute or chronic, without hemorrhage or perforation",,,
53220 ,ACUTE WITH HEMORRHAGE AND PERFORATION - WITHOUT MENTION OF OBSTRUCTION ,K280  ,Acute gastrojejunal ulcer with hemorrhage,,,
53221 ,ACUTE WITH HEMORRHAGE AND PERFORATION - WITH OBSTRUCTION ,K281  ,Acute gastrojejunal ulcer with perforation,,,
53230 ,ACUTE WITHOUT MENTION OF HEMORRHAGE OR PERFORATION -WTHOUT MENTION OF OBSTRUCTION ,K282  ,Acute gastrojejunal ulcer with both hemorrhage and perforation,,,
53231 ,ACUTE WITHOUT MENTION OF HEMORRHAGE OR PERFORATION - WITH OBSTRUCTION ,K283  ,Acute gastrojejunal ulcer without hemorrhage or perforation,,,
53290 ,"UNSPECIFIED AS ACUTE OR CHRONIC, WITHOUT MENTION OF HEMORRHAGE OR PERFORATION - WITHOUT MENTION OF OBSTRUCTION ",K289  ,"Gastrojejunal ulcer, unspecified as acute or chronic, without hemorrhage or perforation",,,
53291 ,"UNSPECIFIED AS ACUTE OR CHRONIC, WITHOUT MENTION OF HEMORRHAGE OR PERFORATION - WITH OBSTRUCTION ",K2901  ,Acute gastritis with bleeding,,,
53300 ,SITE UNSPECIFIED ACUTE WITH HEMORRHAGE - WITHOUT MENTION OF OBSTRUCTION ,K2921  ,Alcoholic gastritis with bleeding,,,
53301 ,SITE UNSPECIFIED ACUTE WITH HEMORRHAGE - WITH OBSTRUCTION ,K2931  ,Chronic superficial gastritis with bleeding,,,
53310 ,SITE UNSPECIFIED ACUTE WITH PERFORATION - WITHOUT MENTION OF OBSTRUCTION ,K2941  ,Chronic atrophic gastritis with bleeding,,,
53311 ,SITE UNSPECIFIED ACUTE WITH -PERFORATION WITH OBSTRUCTION ,K2951  ,Unspecified chronic gastritis with bleeding,,,
53320 ,SITE UNSPECIFIED ACTE WITH HEMORRHAGE AND PERFORATION - WITHOUT MENTION OF OBSTRUCTION ,K2961  ,Other gastritis with bleeding,,,
53321 ,SITE UNSPECIFIED ACUTE WITH HEMORRHAGE AND PERFORATION - WITHOUT MENTION OF OBSTRUCTION ,K2971  ,"Gastritis, unspecified, with bleeding",,,
53330 ,SITE UNSPECIFIED ACUTE WITHOUT MENTION OF HEMORRHAGE AND PERFFORATION - WITHOUT MENTION OF OBSTRUCTION ,K2981  ,Duodenitis with bleeding,,,
53331 ,SITE UNSPECIFIED ACUTE WITHOUT MENTION OF HEMORRHAGE AND PERFORATION - WITH OBSTRUCTION ,K2991  ,"Gastroduodenitis, unspecified, with bleeding",,,
53390 ,"SITE UNSPECIFIED UNSPECIFIED AS ACUTE OR CHRONIC, WITHOUT MENTION OF HEMORRHAGE OR PERFORATION - WITHOUT MENTION OF OBSTRUCTION ",K31811  ,Angiodysplasia of stomach and duodenum with bleeding,,,
53391 ,"SITE UNSPECIFIED UNSPECIFIED AS ACUTE OR CHRONIC, WITHOUT MENTION OF HEMORRHAGE OR PERFORATION - WITH OBSTRUCTION ",K3182  ,Dieulafoy lesion (hemorrhagic) of stomach and duodenum,,,
53400 ,ACUTE WITH HEMORRHAGE -WITHOUT MENTION OF OBSTRUCTION ,K5521  ,Angiodysplasia of colon with hemorrhage,,,
53401 ,ACUTE WITH HEMORRHAGE - WITH OBSTRUCTION ,K5701  ,Diverticulitis of small intestine with perforation and abscess with bleeding,,,
53410 ,ACUTE WITH PERFORATION - WITHOUT MENTION OF OBSTRUCTION ,K5711  ,Diverticulosis of small intestine without perforation or abscess with bleeding,,,
53411 ,ACUTE WITH PERFORATION - WITH OBSTRUCTION ,K5713  ,Diverticulitis of small intestine without perforation or abscess with bleeding,,,
53420 ,ACUTE WITH HEMORRHAGE AND PERFORATION - WITHOUT MENTION OF OBSTRUCTION ,K5721  ,Diverticulitis of large intestine with perforation and abscess with bleeding,,,
53421 ,ACUTE WITH HEMORRHAGE AND PERFORATION - WITH OBSTRUCTION ,K5731  ,Diverticulosis of large intestine without perforation or abscess with bleeding,,,
53430 ,ACUTE WITHOUT MENTION OF HEMORRHAGE OR PERFORATION -WITHOUT MENTION OF OBSTRUCTION ,K5733  ,Diverticulitis of large intestine without perforation or abscess with bleeding,,,
53431 ,ACUTE WITHOUT MENTION OF HEMORRHAGE OR PERFORATION - WITH OBSTRUCTION ,K5741  ,Diverticulitis of both small and large intestine with perforation and abscess with bleeding,,,
53490 ,"UNSPECIFIED AS ACUTE OR CHRONIC, WITHOUT MENTION OF HEMORRHAGE OR PERFORATION - WITHOUT MENTION OF OBSTRUCTION ",K5751  ,Diverticulosis of both small and large intestine without perforation or abscess with bleeding,,,
53491 ,"UNSPECIFIED AS ACUTE OR CHRONIC, WITHOUT MENTION OF HEMORRHAGE OR PERFORATION - WITH OBSTRUCTION ",K5753  ,Diverticulitis of both small and large intestine without perforation or abscess with bleeding,,,
53501 ,ACUTE GASTRITIS - WITH HEMORRHAGE ,K5781  ,"Diverticulitis of intestine, part unspecified, with perforation and abscess with bleeding",,,
53511 ,ATROPHIC GASTRITIS - WITH HEMORRHAGE ,K5791  ,"Diverticulosis of intestine, part unspecified, without perforation or abscess with bleeding",,,
53521 ,GASTRIC MUCOSAL HYPERTROPHY -WITH HEMORRHAGE ,K5793  ,"Diverticulitis of intestine, part unspecified, without perforation or abscess with bleeding",,,
53531 ,ALCOHOLIC GASTRITIS - WITH HEMORRHAGE ,K625  ,Hemorrhage of anus and rectum,,,
53541 ,OTHER SPECIFIED GASTRITIS - WITH HEMORRHAGE ,K6381  ,Dieulafoy lesion of intestine,,,
53551 ,UNSPECIFIED GASTRITIS AND GASTRODUODENITIS - WITH HEMORRHAGE ,K920  ,Hematemesis,,,
53561 ,DUODENITIS - WITH HEMORRHAGE ,K921  ,Melena,,,
53783 ,ANGIODYSPLASIA OF STOMACH AND DUODENUM WITH HEMORRHAGE ,K922  ,"Gastrointestinal hemorrhage, unspecified",,,
53784 ,DIEULAFOY LESION (HEMORRHAGIC) OF STOMACH AND DUODENUM ,,,,,
56202 ,DIVERTICULOSIS OF SMALL INTESTINE WITH HEMORRHAGE ,,,,,
56203 ,DIVERTICULITIS OF SMALL INTESTINE WITH HEMORRHAGE ,,,,,
